family,make,year_start,year_end,engine_liter,source_label,source_href,source_url
Cummins,Ram,2025,2026,6.7L,2025 - 2026 Ram 6.7L Cummins,/collections/cummins-dodge-ram-2025-2026-ram-6-7l-cummins,https://dieselpowerproducts.com/
Cummins,Ram,2019,2024,6.7L,2019 - 2024 Ram 6.7L Cummins,/collections/cummins-dodge-ram-2019-2024-ram-6-7l-cummins,https://dieselpowerproducts.com/
Cummins,Nissan,2016,2019,5.0L,2016 - 2019 Titan XD 5.0L Cummins,/collections/cummins-nissan-titan-2016-2019-titan-xd-5-0l-cummins,https://dieselpowerproducts.com/
Cummins,Ram,2010,2018,6.7L,2010 - 2018 Ram 6.7L Cummins,/collections/cummins-dodge-ram-2010-2018-ram-6-7l-cummins,https://dieselpowerproducts.com/
Cummins,Ram,2007.5,2009,6.7L,2007.5 - 2009 Ram 6.7L Cummins,/collections/cummins-dodge-ram-2007-5-2009-ram-6-7l-cummins,https://dieselpowerproducts.com/
Cummins,Ram,2004.5,2007,5.9L,2004.5 - 2007 Ram 5.9L Cummins,/collections/cummins-dodge-ram-2004-5-2007-ram-5-9l-cummins,https://dieselpowerproducts.com/
Cummins,Ram,2003,2004,5.9L,2003 - 2004 Ram 5.9L Cummins,/collections/cummins-dodge-ram-2003-2004-ram-5-9l-cummins,https://dieselpowerproducts.com/
Cummins,Ram,1994,2002,5.9L,1994 - 2002 Ram 5.9L Cummins,/collections/cummins-dodge-ram-1994-2002-ram-5-9l-cummins,https://dieselpowerproducts.com/
Cummins,Ram,1989,1993,5.9L,1989 - 1993 Ram 5.9L Cummins,/collections/cummins-dodge-ram-1989-1993-ram-5-9l-cummins,https://dieselpowerproducts.com/
Powerstroke,Ford,2020,2026,6.7L,2020 - 2026 Ford 6.7L Powerstroke,/collections/powerstroke-ford-2020-2026-ford-powerstroke-6-7l,https://dieselpowerproducts.com/
Powerstroke,Ford,2018,2021,3.0L,2018 - 2021 Ford F-150 3.0L Powerstroke,/collections/powerstroke-ford-2018-2021-ford-f-150-powerstroke-3-0l,https://dieselpowerproducts.com/
