fitment_vehicle_name,fitment_vehicle_handle,fitment_vehicle_gid,metaobject_type,aliases,updated_at,year,make,engine_liter,engine_family,engine_code,fields_json
1982 Chevrolet 6.2L Detroit,1982-chevrolet-6-2l-detroit,gid://shopify/Metaobject/279918018925,fitment_vehicle,,2026-01-31T01:11:12Z,1982,chevrolet,6.2L,,,"{""year"": ""1982"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.2L Detroit"", ""display_name"": ""1982 Chevrolet 6.2L Detroit""}"
1982 GMC 6.2L Detroit,1982-gmc-6-2l-detroit,gid://shopify/Metaobject/279918051693,fitment_vehicle,,2026-01-31T01:11:13Z,1982,gmc,6.2L,,,"{""year"": ""1982"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.2L Detroit"", ""display_name"": ""1982 GMC 6.2L Detroit""}"
1983 Chevrolet 6.2L Detroit,1983-chevrolet-6-2l-detroit,gid://shopify/Metaobject/279918084461,fitment_vehicle,,2026-01-31T01:11:13Z,1983,chevrolet,6.2L,,,"{""year"": ""1983"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.2L Detroit"", ""display_name"": ""1983 Chevrolet 6.2L Detroit""}"
1983 Ford 6.9L IDI,1983-ford-6-9l-idi,gid://shopify/Metaobject/279915004269,fitment_vehicle,,2026-01-31T01:10:20Z,1983,ford,6.9L,idi,IDI,"{""year"": ""1983"", ""make"": ""Ford"", ""model"": """", ""engine"": ""6.9L IDI"", ""display_name"": ""1983 Ford 6.9L IDI""}"
1983 GMC 6.2L Detroit,1983-gmc-6-2l-detroit,gid://shopify/Metaobject/279918117229,fitment_vehicle,,2026-01-31T01:11:14Z,1983,gmc,6.2L,,,"{""year"": ""1983"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.2L Detroit"", ""display_name"": ""1983 GMC 6.2L Detroit""}"
1984 Chevrolet 6.2L Detroit,1984-chevrolet-6-2l-detroit,gid://shopify/Metaobject/279918149997,fitment_vehicle,,2026-01-31T01:11:14Z,1984,chevrolet,6.2L,,,"{""year"": ""1984"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.2L Detroit"", ""display_name"": ""1984 Chevrolet 6.2L Detroit""}"
1984 Ford 6.9L IDI,1984-ford-6-9l-idi,gid://shopify/Metaobject/279915037037,fitment_vehicle,,2026-01-31T01:10:21Z,1984,ford,6.9L,idi,IDI,"{""year"": ""1984"", ""make"": ""Ford"", ""model"": """", ""engine"": ""6.9L IDI"", ""display_name"": ""1984 Ford 6.9L IDI""}"
1984 GMC 6.2L Detroit,1984-gmc-6-2l-detroit,gid://shopify/Metaobject/279918182765,fitment_vehicle,,2026-01-31T01:11:15Z,1984,gmc,6.2L,,,"{""year"": ""1984"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.2L Detroit"", ""display_name"": ""1984 GMC 6.2L Detroit""}"
1985 Chevrolet 6.2L Detroit,1985-chevrolet-6-2l-detroit,gid://shopify/Metaobject/279917068653,fitment_vehicle,,2026-01-31T01:10:56Z,1985,chevrolet,6.2L,,,"{""year"": ""1985"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.2L Detroit"", ""display_name"": ""1985 Chevrolet 6.2L Detroit""}"
1985 Ford 6.9L IDI,1985-ford-6-9l-idi,gid://shopify/Metaobject/279915069805,fitment_vehicle,,2026-01-31T01:10:22Z,1985,ford,6.9L,idi,IDI,"{""year"": ""1985"", ""make"": ""Ford"", ""model"": """", ""engine"": ""6.9L IDI"", ""display_name"": ""1985 Ford 6.9L IDI""}"
