f,,,,,,,,
,,,,,,,,
Manufacturer,Supplier,Average Discount from MAP,Reseller's Discount,,,,,
73dipstick.com,Supplier,44.44%,,,,,,
A1 Technologies,Thunder,20.00%,10.00%,Free Ground Shipping,,,,
,Premier,,,,,,,
AccuAir,AccuAir,,,,,,,
*AccuAir Dropship,,20.00%,,,,,,
*AccuAir Stock Order (5+ Kits),,25.70%,,,,,,
Accuform Dash Tops,Accuform Dash Tops,35.00%,15.00%,,,,,
Adams Driveshafts,Premier,20.00%,,,,,,
Addictive Desert Designs,Premier,22.68%,,,,,,
,Meyer Distributing,16.00%,,,,,,
,Premier,21.65%,,,,,,
AEM,PPPWD,23.00%,0.00%,,,,,22.2% back of MAP
,XDP,20.00%,,,,,,
,AEM,30.00%,0.00%,BACK OF JOBBER,,,,
*AEM Electronics,Turn 14,20.00%,,,,,,
Aeroturbine,Allied,24.00%,Stock Order,"$4,000 = free freight",Must be ordered in quantities of four,,,
,Aero,46.00%,,,,,,
AFE,,,,,,,,
*AFE Price Level A,Turn 14,28.00%,,,,,,
*AFE Price Level B,Turn 14,25.00%,,,,,,
*AFE Price Level C,Turn 14,20.00%,,,,,,
*AFE Price Level D,Turn 14,13.00%,,,,,,
*AFE Price Level A,XDP,30.00%,,,,,,
*AFE Price Level B,XDP,25.00%,,,,,,
*AFE Price Level C,XDP,20.00%,,,,,,
*AFE Price Level D,XDP,10.00%,,,,,,
*AFE Price Level A,AFE,37.00%,$10 Dropship Fee,,$0 DS Fee + Shipping,,,
*AFE Price Level B,AFE,33.00%,$10 Dropship Fee,,$25k Free Freight,,,
*AFE Price Level C,AFE,30.00%,$10 Dropship Fee,,,,,
*AFE Price Level D,AFE,25.00%,$10 Dropship Fee,,,,,
*AFE Price Level S,AFE,20.00%,$10 Dropship Fee,,,,,
Agri-Cover,PPPWD / CSI,35.50%,15.00%,,,,,
Airaid,Airaid,,,,,,,
*Airaid All Parts Except Econoaid,,30.00%,15.00%,,,,,
*Airaid Econoaid,,34.00%,20.00%,,,,,
AirLift,Turn 14,25.00%,5.00%,,,,,
,A1 Distributing,,,,,,,
Alliant,Power Distributing,30.00%,15.00%,,,,,
,Industrial Injection,24-26%,,,,,,
,Gomers / US Diesel Parts,30.00%,,"Free freight over $5,000",,,,
Allied Exhaust Tips,Allied,35.00%,15.00%,,,,,
Alpharex,Meyer,26.00%,,,,,,
,XDP,24.00%,,,,,,
,Turn 14,32.60%,,29% back of Jobber,,,,
American Expedition Vehicles,AEV,VARIES,,"Limited to 4 dropshipments per month. Order 60 days supply and look at reordering 30 days in | $15k minimum free freight | $6k minimum nets $200 freight incentive, $8.5k minimum nets $350 freight incentive, $11k nets $500 freight incentive",,,,
AMP Research,PPPWD,23.00%,10.00%,,,,,
,A1 Distributing,,,,,,,
,,39.00%,,,,,,
Anarchy Diesel - EFILive,Anarchy,,,,,,,
*Anarchy Diesel  -EFILive - Level 1,,24.50%,10.00%,,,,,
*Anarchy Diesel  -EFILive - Level 2,,29.90%,10.00%,,,,,
*Anarchy Diesel  -EFILive - Level 3,,34.58%,10.00%,,,,,
*Anarchy Diesel 4th Gen Cummins,,21.88%,10.00%,,,,,
