shopify_vendor,total_skus,prefixed_skus,inferred_prefix,inferred_count,confidence_ratio,candidate_prefixes,sample_sku_1,sample_sku_2,sample_sku_3
4x4 Posi-Lok,3,3,PSL,3,1.0,PSL:3,PSL-100,PSL-400,PSL-1100
73dipstick.com,1,1,73D,1,1.0,73D:1,73D-110448,,
ADDICTIVE DESERT DESIGNS,1,1,ADD,1,1.0,ADD:1,ADD-AC8101801NA,,
ADS Shocks,26,26,ADS,26,1.0,ADS:26,ADS-250-F2R45-000,ADS-250-F2F45-030,ADS-250-03RAM-F00
AEM,8,8,AEM,8,1.0,AEM:8,AEM-21-9032DS,AEM-21-9221DS,AEM-21-8211DC
AEV | American Expedition Vehicles,236,234,AEV,234,0.9915,AEV:234,AEV-N0340000AB,AEV-N0340001AB,AEV-10404020AA
AFE,990,990,AFE,987,0.997,AFE:987 | 46:2 | AFE46:1,AFE-46-20039,AFE-20-91059,AFE-30-10102
AMP Research,70,70,AMP,70,1.0,AMP:70,AMP-75301-01A,AMP-75146-01A,AMP-75113-01A
ARB,92,89,ARB,89,0.9674,ARB:89,ARB-750001,ARB-0750001B,ARB-0750001
ARP Bolts,60,60,ARP,60,1.0,ARP:60,ARP-230-4201,ARP-247-4206,ARP-247-4203
ATI Performance Products,14,12,ATI,12,0.8571,ATI:12,ATI-917365,ATI-917365C,ATI-917374
ATS Diesel Performance,539,539,ATS,539,1.0,ATS:539,ATS-1039093278,ATS-1039102164,ATS-1039102218
AccuAir Suspension,5,5,AA,5,1.0,AA:5,AA-3837,AA-3836,AA-3838
Accutrim,5,5,AF,5,1.0,AF:5,AF-DRD3-5/25-35,AF-DRD4-7,AF-DRD8-1
Adams Driveshaft & Offroad,2,2,ADAMS,2,1.0,ADAMS:2,ADAMS-RAM-1350F-5GEN,ADAMS-RAM-1410F-5GEN,
Aeroturbine,31,31,AERO,31,1.0,AERO:31,AERO-AR20,AERO-AR25,AERO-AR30
Air Lift Company,15,15,AL,15,1.0,AL:15,AL-57399,AL-57575,AL-88399
AirDog | PureFlow Technologies,97,97,PF,92,0.9485,PF:92 | PFT:5,PF-R3SBD100,PF-R3SBD150,PF-AD09SMP
Airaid,3,3,AIR,3,1.0,AIR:3,AIR-300-128,AIR-790-550,AIR-400-131-1
Alliant Power,353,353,ALI,352,0.9972,ALI:352 | AP:1,ALI-AP0004,ALI-AP0016,ALI-AP63482
Alpharex,88,88,ARX,88,1.0,ARX:88,ARX-810003,ARX-880538,ARX-880536
American Axle & Manufacturing (AAM),1,1,AAM,1,1.0,AAM:1,AAM-DS U-926,,
American Racing Wheels | ATX Series,4,4,AR,4,1.0,AR:4,AR-AR1726882B,AR-AR1726882,AR-AR1727882B
Anvil Off-Road,6,6,AOR,6,1.0,AOR:6,AOR-2791AOR,AOR-17011AOR,AOR-17001AOR
Apex Chassis,132,132,APX,124,0.9394,APX:124 | KIT120:4 | KIT125:4,APX-KIT101K,APX-KIT101,APX-KIT385-STL
Apex Designs,9,9,APXD,9,1.0,APXD:9,APXD-X02-02-002,APXD-X02-02-001,APXD-X02-02-004
Artec Industries,3,3,ARTEC,3,1.0,ARTEC:3,ARTEC-TR1101,ARTEC-TR9251,ARTEC-JT4135
Auto Meter,252,252,AM,252,1.0,AM:252,AM-8586,AM-8593,AM-8549
AutoEnginuity,12,12,AUTO,10,0.8333,AUTO:10 | AE:2,AUTO-EI02,AUTO-EI04,AUTO-EI06
Axiom Supply,46,41,AXS,41,0.8913,AXS:41,AXS-AXGMEL02,AXS-AXGMEL46,AXS-AXGMEL79
B&M Shifters,22,22,BM,22,1.0,BM:22,BM-45199,BM-70397,BM-71397
BD-Power,726,724,BD,724,0.9972,BD:724,BD-1027144,BD-1027150,BD-1027344
BDS Suspension,663,662,BDS,661,0.997,BDS:661 | UBT:1,BDS-121251,BDS-123251,BDS-1518H
BMC Lights,19,19,BMC,19,1.0,BMC:19,BMC-FRD-F25-F45-HTC-FLD-RGD-IGN,BMC-FRD-F25-F45-HTC-FLD-RGD-STD,BMC-3-FSER-2017-DFF-RGD1-RGD-IGN
Baer Brake Systems,6,6,BAER,6,1.0,BAER:6,BAER-2141023-2,BAER-2142013-2,BAER-2301072-2
