review_bucket,vendor,display_name,official_website_status,official_website_url,sample_sku,search_template_status,search_url_template,search_result_mode,resolver_hint,review_notes
confirmed_unresolved,FASS Fuel Systems,FASS Fuel Systems,confirmed,https://www.fassride.com/,DDP-RK-04,unresolved,,,manual_hidden_form_observed,"Hidden search form submits to /?search-field={sku}, but current response does not render server-side search results in HTML."
confirmed_unresolved,No Limit Fabrication,No Limit Fabrication,confirmed,https://nolimitfabrication.com/,NL-67OP,unresolved,,,,Unknown page type
confirmed_unresolved,PMF Suspension,PMF Suspension,confirmed,https://www.pmfsuspension.com/,PMF-FRD-5004,unresolved,,,,Bot challenge page
confirmed_unresolved,River City Turbo,River City Turbo,confirmed,https://rivercityturbo.com/,RCT-GM-3,unresolved,,,,No visible search input found
confirmed_unresolved,Royalty Core,Royalty Core,confirmed,https://www.royaltycore.com/,RC-15966,unresolved,,,,Search returned no results
confirmed_unresolved,S&B,S&B,confirmed,https://sbfilters.com/,SB-832018,unresolved,,,,search-template fetch error: HTTP Error 429: Too Many Requests
confirmed_unresolved,Smarty by MADS Electronics,Smarty by MADS Electronics,confirmed,https://madselectronics.com/,ME-J-06,unresolved,,,,No visible search input found
confirmed_unresolved,SunCoast Performance,SunCoast Performance,confirmed,https://suncoastdiesel.com/,SC-68-1,unresolved,,,,No visible search input found
confirmed_unresolved,Tekonsha,Tekonsha,confirmed,https://www.tekonsha.com/,TEK-9030,unresolved,,,manual_post_search_endpoint,Site search submits POST /api/ue/AddSiteVisitorSearchResults then lands on GET /SearchResults; autocomplete endpoint GET /Api/Search/GetProdAutocomplete?value={sku}&cat=all.
probable_unresolved,73dipstick.com,73dipstick.com,probable,https://73dipstick.com/,73D-110448,unresolved,,,,No visible search input found
probable_unresolved,Aeroturbine,Aeroturbine,probable,https://www.aeroturbineparts.com/about/,AERO-AR20,unresolved,,,,No visible search input found
probable_unresolved,Airaid,Airaid,probable,https://www.airaid.com/,AIR-300-128,unresolved,,,,search-template fetch error: HTTP Error 403: Forbidden
probable_unresolved,Alpharex,Alpharex Performance Lighting,probable,https://alpharexusa.com/,ARX-810003,unresolved,,,,Bot challenge page
probable_unresolved,American Axle & Manufacturing (AAM),American Axle & Manufacturing (AAM),probable,https://www.aam.com/,AAM-DS U-926,unresolved,,,,No visible search input found
probable_unresolved,American Racing Wheels | ATX Series,American Racing Wheels | ATX Series,probable,https://www.atxwheels.com/,AR-AR1726882,unresolved,,,,No visible search input found
probable_unresolved,Anvil Off-Road,Anvil Off-Road,probable,https://www.anviloffroad.ca/,AOR-2791AOR,unresolved,,,,No visible search input found
probable_unresolved,Apex Chassis,Apex Chassis,probable,https://apexchassis.com/,APX-BJ162,unresolved,,,,No visible search input found
probable_unresolved,Auto Meter,Auto Meter,probable,https://www.autometer.com/,AM-8586,unresolved,,,,search-template fetch error: HTTP Error 403: Forbidden
probable_unresolved,B&M Shifters,B&M Shifters,probable,https://www.bmracing.com/,BM-45199,unresolved,,,,search-template fetch error: HTTP Error 403: Forbidden
probable_unresolved,Baldwin Filters,Baldwin Filters,probable,https://www.baldwinfilters.com/us/en.html,PF7977,unresolved,,,,search-template fetch error: HTTP Error 403: Forbidden
probable_unresolved,Bilstein Shock Absorbers,Bilstein Shock Absorbers,probable,https://cart.bilsteinus.com/,BIL-24-158848,unresolved,,,,No visible search input found
probable_unresolved,BMC Lights,BMC Lights,probable,https://bmclights.com/,BMC-RAM-250-HB-RGD-STD,unresolved,,,,No visible search input found
probable_unresolved,Borgeson,Borgeson,probable,https://www.borgeson.com/,BG-800123,unresolved,,,,Search returned no results
probable_unresolved,Borne Off-Road,Borne Off-Road,probable,https://rogue-offroad.com/Borne-Off-Road_bymfg_275-0-1.html,BOR-BNSB-8,unresolved,,,,Bot challenge page
probable_unresolved,Bosch,Bosch,probable,https://www.bosch.us/,BOS-HP004X,unresolved,,,,No visible search input found
probable_unresolved,BulletProof Hitches,BulletProof Hitches,probable,https://www.bulletproofhitches.com/,BPH-MD204,unresolved,,,,Unable to populate search input
