success_priority,vendor,display_name,official_website_status,official_website_url,sample_sku,search_url_template,search_template_status,search_result_mode,platform_family,search_family,transport,parameter_name,confidence_bucket,browser_required_hint,blocking_hint,resolver_hint,review_notes
0-0-0,AccuAir Suspension,AccuAir Suspension,confirmed,https://accuair.com/,AA-3837,https://accuair.com/search?q={sku}&options%5Bprefix%5D=last,confirmed,search_results,shopify,generic_q_search,GET,q,high,no,,playwright_search_submit,
0-0-0,AEV | American Expedition Vehicles,AEV | American Expedition Vehicles,confirmed,https://aev-conversions.com/,AEV-N0340000AB,https://aev-conversions.com/search?q={sku},confirmed,search_results,generic_get_search,generic_q_search,GET,q,high,no,,manual_user_seed,
0-0-0,AFE,AFE,confirmed,https://afepower.com/,46-71370B,https://afepower.com/catalogsearch/result/?q={sku},confirmed,search_results,magento,magento_catalogsearch,GET,q,high,no,,manual_user_seed,
0-0-0,AirDog | PureFlow Technologies,AirDog | PureFlow Technologies,confirmed,https://airdogdiesel.com/,PFT-WS100,https://airdogdiesel.com/?s={sku},confirmed,search_results,wordpress_like,wordpress_s_query,GET,s,high,no,,manual_wordpress_search_validation,Validated WordPress search route; alternate /search/{sku} route also appears in og:url.
0-0-0,ARB,ARB,confirmed,https://arbusa.com/,ARB-AR09,https://store.arbusa.com/search-results-page?q={sku},confirmed,search_results,custom,path_or_query_search,GET,q,high,no,,manual_user_seed,
0-0-0,ATS Diesel Performance,ATS Diesel Performance,confirmed,https://atsdiesel.com/,ATS-1039093278,https://atsdiesel.com/search?q={sku},confirmed,search_results,generic_get_search,generic_q_search,GET,q,high,no,,manual_user_seed,
0-0-0,BD-Power,BD-Power,confirmed,https://us.bddiesel.com/,BD-1027144,https://us.bddiesel.com/collections/shop?q={sku},confirmed,search_results,custom,path_or_query_search,GET,q,high,no,,playwright_search_submit,
0-0-0,Black Mamba Gloves,Black Mamba Gloves,confirmed,https://www.blackmambagloves.com/,BMG-OMG-110,https://www.blackmambagloves.com/?s={sku},confirmed,search_results,wordpress_like,wordpress_s_query,GET,s,high,no,,manual_wordpress_search_validation,Search route validated; sample SKU returned a no-results page.
0-0-0,Black Rhino Wheels,Black Rhino Wheels,confirmed,https://www.blackrhinowheels.com/,BRW-1795ARY-88170G25,https://www.blackrhinowheels.com/catalogsearch/result/?q={sku},confirmed,search_results,magento,magento_catalogsearch,GET,q,high,no,,manual_magento_form_validation,
0-0-0,Blend Door USA,Blend Door USA,confirmed,https://www.blenddoorusa.com/,BDUSA-5DR,https://www.blenddoorusa.com/search?q={sku},confirmed,search_results,generic_get_search,generic_q_search,GET,q,high,no,,playwright_search_submit,
0-0-0,BorgWarner,BorgWarner,confirmed,https://www.borgwarner.com/home,BW-179425,https://www.borgwarner.com/search?indexCatalogue=default&searchQuery={sku}&wordsMode=0,confirmed,search_results,custom,custom_search,GET,searchQuery,high,no,,playwright_search_submit,
0-0-0,Diamond Eye Performance,Diamond Eye Performance,confirmed,https://www.diamondeyeperformance.com/,DE-L20AA,https://www.diamondeyeperformance.com/?s={sku},confirmed,search_results,wordpress_like,wordpress_s_query,GET,s,high,no,,playwright_search_submit,
0-0-0,Factor 55,Factor 55,confirmed,https://www.factor55.com/,FF-00013,https://www.factor55.com/search?q={sku},confirmed,search_results,generic_get_search,generic_q_search,GET,q,high,no,,playwright_search_submit,
0-0-0,FASS Fuel Systems,FASS Fuel Systems,confirmed,https://www.fassride.com/,DDP-RK-04,https://shop.fassride.com/Products/Search?search={sku},confirmed,search_results,custom_api,json_product_search,GET,search,high,no,,manual_json_api_id_detail,"Validated against the live Midway widget. The popup search uses input#search-field inside .midway-search-input-container and calls GET https://shop.fassride.com/Products/Search?search={sku}. Use the JSON products[] hit, score by partNumber, then build https://www.fassride.com/details?id={id}. The raw search endpoint alone is not sufficient for prefixed alias SKUs because it can return fuzzy matches."
0-0-0,Fumoto Engineering,Fumoto Engineering,confirmed,https://www.fumotousa.com/,F-104,https://www.fumotousa.com/?target=search&mode=search&substring={sku}&including=all,confirmed,search_results,custom,substring_search,GET,substring,high,no,,playwright_search_submit,
0-0-0,Industrial Injection,Industrial Injection,confirmed,https://industrialinjection.com/,II-227411,https://industrialinjection.com/search?type=product%2Carticle%2Cpage%2Ccollection&options[prefix]=last&q={sku},confirmed,search_results,shopify,shopify_product_search,GET,q,high,no,,playwright_search_submit,
0-0-0,Method Race Wheels,Method Race Wheels,confirmed,https://www.methodracewheels.com/,MRW-MR301785,https://www.methodracewheels.com/search?q={sku},confirmed,search_results,generic_get_search,generic_q_search,GET,q,high,no,,playwright_search_submit,
