vendor,display_name,search_family,interaction_strategy,runtime_preference,blocking_risk,verification_level,sku,scrape_status,scrape_fields_found,scrape_error,search_provider,product_url,title,vendor_value,type,google_product_type,category_code,product_subtype,description_found,media_count,collections,tags,core_complete,remove_marked,remove_reason,excluded,exclusion_reason
Mac's Custom Tie Downs,Mac's Custom Tie Downs,asp_search_ss,results_page_clickthrough,http_first,low,verified,MACS-520010,success check,"title, description_html, media_urls, price, vendor, media_local_files",,,https://www.macscustomtiedowns.com/anchor-points/plate-kits/1-inch/p/520010/,Macs Custom Tie-Downs VersaTie Anchor Plate Assembly-1 Fastener,Macs Custom Tie-Downs,Skid Plates,Motor Vehicle Parts,Skid Plates,,yes,0,,,yes,,,,
Mac's Custom Tie Downs,Mac's Custom Tie Downs,asp_search_ss,results_page_clickthrough,http_first,low,verified,MACS-710520,success check,"title, description_html, media_urls, price, vendor, media_local_files",,,https://www.macscustomtiedowns.com/tools-accessories/misc/chainsaw-scabbard/20-inch/p/710520/,Macs Custom Tie-Downs 20 Chainsaw Scabbard,Macs Custom Tie-Downs,,Motor Vehicle Parts,,,yes,0,,,,,,,
Mac's Custom Tie Downs,Mac's Custom Tie Downs,asp_search_ss,results_page_clickthrough,http_first,low,verified,MACS-791043,success check,"title, description_html, media_urls, price, vendor, media_local_files",,,https://www.macscustomtiedowns.com/straps/specialty/towing/jack-tool-kit/p/791043/,Macs Custom Tie-Downs Jack Tool Kit,Macs Custom Tie-Downs,Jacks,Motor Vehicle Parts,Jacks,,yes,0,,,yes,,,,
ARB,ARB,bigcommerce_search_php_query,results_page_clickthrough,http_first_with_browser_fallback,low,verified,ARB-RD139,success check,"title, description_html, media_urls, price, barcode, application, vendor, media_local_files",,search_seed,https://store.arbusa.com/air-locker-differential-aam-11-5-rd139/?searchid=172466&search_query=RD139,"ARB 4x4 Accessories Air Locker Differential AAM 11.5"" RD139 03-19 Ram 2500 / 3500",ARB 4x4 Accessories,Air Horn Kits,Vehicle Door Locks & Locking Systems,Air Horn Kits,,yes,0,"Air Horn Kits | 2003-2004 Ram 5.9 Cummins, Air Horn Kits | 2004.5-2007 Ram 5.9 Cummins, Air Horn Kits | 2007.5-2009 Ram 6.7 Cummins, Air Horn Kits | 2010-2018 Ram 6.7 Cummins, Air Horn Kits | 2019-2024 Ram 6.7 Cummins",dieselfueleconomy | bi-fuel,yes,,,,
ARB,ARB,bigcommerce_search_php_query,results_page_clickthrough,http_first_with_browser_fallback,low,verified,ARB-RD162,success check,"title, description_html, media_urls, price, barcode, application, vendor, media_local_files",,search_seed,https://store.arbusa.com/air-locker-differential-dana-60-30-spl-4-56-up-rd162/?searchid=172467&search_query=RD162,"ARB 4x4 Accessories Air Locker Differential Dana 60, 30 SPL, 4.56 & 83-03 Ram 2500 / 3500",ARB 4x4 Accessories,Axles & Differentials,Vehicle Door Locks & Locking Systems,Axles & Differentials,Differential Covers,yes,0,,dieselfueleconomy | bi-fuel,yes,,,,
Beans Diesel | Bean Machine,Beans Diesel | Bean Machine,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,verified,BDP-280003,success check,"title, description_html, media_urls, price, barcode, vendor, media_local_files",,search_seed,https://bdpshop.com/beans-diesel-bean-machine-multi-function-fuel-tank-sump-kit-p-n-00-280003/?searchid=46661&search_query=280003,Bitterroot Diesel Performance Beans Bean Machine Multi Function Fuel Tank Sump Kit,Bitterroot Diesel Performance,Fuel Related,Motor Vehicle Fuel Systems,Fuel Related,Fuel Tank Sumps,yes,0,,dieselfueleconomy | diesel,yes,,,,
Beans Diesel | Bean Machine,Beans Diesel | Bean Machine,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,verified,BDP-280032,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
ComeUp Winch,ComeUp Winch,bigcommerce_search_php_query,,http_first,low,probed,CU-295620,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
ComeUp Winch,ComeUp Winch,bigcommerce_search_php_query,,http_first,low,probed,CU-295660,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Crown Brake Lines,Crown Brake Lines,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,probed,CROWN-FORD92FR-0-CLE,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
