vendor,display_name,search_family,interaction_strategy,runtime_preference,blocking_risk,verification_level,search_url_template,tested_skus,tested_sku_count,built_products,payload_success_count,scrape_success_count,unresolved_count,failed_count,core_complete_count,title_count,description_count,media_count,vendor_count,type_count,google_type_count,category_count,subtype_count,removed_count,excluded_count,end_to_end_status,dominant_error,general_warnings,runtime_seconds
Mac's Custom Tie Downs,Mac's Custom Tie Downs,asp_search_ss,results_page_clickthrough,http_first,low,verified,https://www.macscustomtiedowns.com/search.aspx?ss={sku},MACS-520010 | MACS-710520 | MACS-791043,3,3,3,3,0,0,2,3,3,0,3,2,3,2,0,0,0,partial,,,5.22
ARB,ARB,bigcommerce_search_php_query,results_page_clickthrough,http_first_with_browser_fallback,low,verified,https://store.arbusa.com/search.php?search_query={sku},ARB-RD139 | ARB-RD162,2,2,2,2,0,0,2,2,2,0,2,2,2,2,1,0,0,validated,,,71.34
Beans Diesel | Bean Machine,Beans Diesel | Bean Machine,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,verified,https://bdpshop.com/search.php?search_query={sku},BDP-280003 | BDP-280032,2,2,1,1,0,1,1,1,1,0,1,1,2,1,1,0,0,partial,No SKU-specific product result found from search page.,,82.88
ComeUp Winch,ComeUp Winch,bigcommerce_search_php_query,,http_first,low,probed,https://comeupwinch.com/search.php?search_query={sku},CU-295620 | CU-295660,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,failed,No SKU-specific product result found from search page.,,4.58
Crown Brake Lines,Crown Brake Lines,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,probed,https://crownperformance.com/search.php?search_query={sku},CROWN-GM77FR-00-CLE | CROWN-FORD92FR-0-CLE,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,failed,No SKU-specific product result found from search page.,,188.52
Dipaco DTech Diesel Parts,Dipaco DTech Diesel Parts,bigcommerce_search_php_query,results_page_clickthrough,http_first_with_browser_fallback,low,verified,https://usdieselparts.com/search.php?search_query={sku},DT-DT270007 | DT-DT590011,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,failed,No SKU-specific product result found from search page.,,53.36
Longhorn Fab Shop,Longhorn Fab Shop,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,verified,https://longhornfabshop.com/search.php?search_query={sku},LFS-201051 | LFS-200997,2,2,2,2,0,0,2,2,2,0,2,2,2,2,0,0,0,validated,,,33.45
Mechman Alternators,Mechman Alternators,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,verified,https://www.mechman.com/search.php?search_query={sku},MECH-7796240 | MECH-B11348400B,2,2,2,2,0,0,0,2,2,0,2,0,2,0,0,0,0,partial,,,103.42
Proforged,Proforged Steering & Suspension,bigcommerce_search_php_query,results_page_clickthrough,http_first_with_browser_fallback,medium,verified,https://proforged.com/search.php?search_query={sku},PROF-104-10966 | PROF-113-10546,2,2,2,2,0,0,2,2,2,0,2,2,2,2,2,0,0,validated,,,33.61
Revolution Gear & Axle,Revolution Gear & Axle,bigcommerce_search_php_query,,http_first,low,detected,https://revolutiongear.com/search.php?search_query={sku},D70-373 | D70-410,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,failed,No SKU-specific product result found from search page.,,21.33
Rock Krawler,Rock Krawler,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,verified,https://rockkrawler.com/search.php?search_query={sku},RK-RK02542 | RK-F2XF4005,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,failed,No SKU-specific product result found from search page.,,76.35
Rotomaster,Rotomaster,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,probed,https://rotomaster.com/search.php?search_query={sku},ROT-H1350212N | ROT-S1640303N,2,2,2,2,0,0,2,2,2,0,2,2,2,2,1,0,0,validated,,,43.75
SoCal SuperTrucks,SoCal SuperTrucks,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,verified,https://socalsupertrucks.com/search.php?search_query={sku},SS-200215 | SS-200200,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,failed,No SKU-specific product result found from search page.,,68.78
Tork Teknology,Tork Teknology,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,verified,https://www.torkteknology.com/search.php?search_query={sku},DPP-BBS010 | DPP-CBS010,2,2,1,1,0,1,1,1,1,0,1,1,2,1,1,0,0,partial,No SKU-specific product result found from search page.,,25.83
Camburg Suspension,Camburg Suspension,custom_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,https://www.suspensionlifts.com/?post_type=product&s={sku}&asp_active=1&p_asid=1&p_asp_data=1&filters_initial=1&filters_changed=0&qtranslate_lang=0&woo_currency=USD&current_page_id=701,CAM-110081 | CAM-110136 | CAM-230002,3,3,3,3,0,0,1,3,1,0,3,1,3,1,0,0,0,partial,,,144.47
Fairchild Industries,Fairchild Industries,custom_search,results_page_clickthrough,http_first_with_browser_fallback,low,detected,https://fairchildindustries.com/search/{sku}/,FI-F3019 | FI-F1001 | FI-F4052,3,3,3,3,0,0,0,3,3,0,3,0,3,0,0,0,0,partial,,,41.29
Synapse Auto,Synapse Auto,custom_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,https://synapseauto.com/filterSearch?advs=true&cid=0&mid=0&vid=0&q={sku}&sid=true&isc=true&orderBy=0,SYNA-S79-L5P1 | SYNA-S79-351351 | SYNA-S79-300122,3,3,3,3,0,0,0,3,0,0,3,0,3,0,0,0,0,partial,,,7.69
Suspension MAXX,Suspension MAXX,drupal_search_api,results_page_clickthrough,http_first_with_browser_fallback,low,verified,https://suspensionmaxx.com/catalog?search_api_fulltext={sku},SMX-2535 | SMX-122690EX | SMX-10195,3,3,3,3,0,0,3,3,3,0,3,3,3,3,0,0,0,validated,,,5.32
BMC Lights,BMC Lights,generic_keyword_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,https://bmclights.com/shop-for-bmc-kits/ols/search?keywords={sku},BMC-RAM-250-HB-RGD-STD | BMC-FRD-F25-F45-HTC-FLD-RGD-IGN | BMC-202-202-GMC-250-RGD-SR,3,3,3,3,0,0,3,3,3,0,3,3,3,3,3,0,0,validated,,,4.39
AFE,AFE,magento_catalogsearch,,http_first,low,verified,https://afepower.com/catalogsearch/result/?q={sku},AFE46-60059 | 46-71370B,2,2,1,1,0,1,1,1,1,0,1,1,2,1,1,0,0,partial,No SKU-specific product result found from search page.,,1063.42
American Racing Wheels | ATX Series,American Racing Wheels | ATX Series,magento_catalogsearch,,browser_first,low,verified,https://www.atxwheels.com/catalogsearch/result/?q={sku},AR-AR1726882 | AR-AR1726882B,2,2,2,2,0,0,2,2,2,0,2,2,2,2,2,0,0,validated,,,3.89
Auto Meter,Auto Meter,magento_catalogsearch,,http_first_with_browser_fallback,medium,verified,https://www.autometer.com/catalogsearch/result?q={sku},AM-8549 | AM-8550,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,failed,https://www.autometer.com/catalogsearch/result?q=AM-8549 (Bot challenge page detected),Vendor throttling detected; using safe scrape mode for this run.,539.07
Black Rhino Wheels,Black Rhino Wheels,magento_catalogsearch,,http_first,low,verified,https://www.blackrhinowheels.com/catalogsearch/result/?q={sku},BRW-1795ARY-88170G25 | BRW-1795ARY-88170D25,2,2,2,2,0,0,2,2,2,0,2,2,2,2,2,0,0,validated,,,66.90
Borne Off-Road,Borne Off-Road,magento_catalogsearch,,browser_first,high,verified,https://www.borne.com/catalogsearch/result/?q={sku},BOR-BNSB-8 | BOR-BNKR-34,2,2,2,2,0,0,0,2,0,0,2,0,2,0,0,0,0,partial,,,14.48
Cognito Motorsports Suspension,Cognito Motorsports Suspension,magento_catalogsearch,,http_first,low,verified,https://cognitomotorsports.com/catalogsearch/result/?q={sku},CM-110-90715 | CM-110-90283,2,2,2,2,0,0,2,2,2,0,2,2,2,2,0,0,0,validated,,,201.24
Diode Dynamics,Diode Dynamics,magento_catalogsearch,,http_first,low,detected,https://www.diodedynamics.com/catalogsearch/result/?q={sku},DD-DD7120 | DD-DD7127,2,2,2,2,0,0,2,2,2,0,2,2,2,2,2,0,0,validated,,,18.71
Fleece Performance Engineering,Fleece Performance Engineering,magento_catalogsearch,,http_first,low,detected,https://www.fleeceperformance.com/catalogsearch/result/?q={sku},FPE-CP3X2 | FPE-34560,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,failed,No SKU-specific product result found from search page.,,41.87
Fleetguard Filters,Fleetguard Filters,magento_catalogsearch,,http_first,low,detected,https://fleet-reliable-filters.com/catalogsearch/result/index/?q={sku},FG-LF9028 | FG-FS19856,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,failed,No SKU-specific product result found from search page. https://fleet-reliable-filters.com/catalog/product/frontend_action_synchronize/ (HTTP 404) | https://fleet-reliable-filters.com/rest/default/V1/products-render-info (HTTP 400),,28.87
Flex-A-Lite,Flex-A-Lite,magento_catalogsearch,,http_first,low,verified,https://flex-a-lite.com/catalogsearch/result/?q={sku},FAL-103961 | FAL-104641,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,failed,https://flex-a-lite.com/catalogsearch/result/?q=FAL-103961 (HTTP 403),,180.78
KC HiLiTES,KC HiLiTES,magento_catalogsearch,,http_first_with_browser_fallback,medium,verified,https://www.kchilites.com/catalogsearch/result/?q={sku},KC-490 | KC-238,2,2,1,1,0,1,1,1,1,0,1,1,2,1,1,0,0,partial,No SKU-specific product result found from search page. https://www.kchilites.com/catalog/product/frontend_action_synchronize/ (HTTP 404) | https://www.kchilites.com/rest/default/V1/products-render-info (HTTP 400),,82.19
Mishimoto,Mishimoto,magento_catalogsearch,,http_first,low,detected,https://www.mishimoto.com/catalogsearch/result/?q={sku},MISH-R1553 | MISH-R13296,2,2,2,2,0,0,0,2,0,0,2,0,2,0,0,0,0,partial,,,14.34
Nemesis Industries,Nemesis Industries,magento_catalogsearch,,http_first,low,detected,https://nem-ind.com/catalogsearch/result/?q={sku},NEM-121840 | NEM-121841,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,failed,https://nem-ind.com/catalogsearch/result/?q=NEM-121840 (HTTP 404),,5.12
NOS Nitrous Oxide Systems,NOS Nitrous Oxide Systems,magento_catalogsearch,,http_first,low,verified,https://www.noswizard.com/catalogsearch/result/?q={sku},NOS-02519NOS | NOS-02521NOS,2,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,failed,https://www.noswizard.com/catalogsearch/result/?q=NOS-02519NOS (Remote end closed connection without response),,153.39
