vendor,display_name,official_website_url,search_url_template,sample_sku_primary,validation_sample_skus,validation_success_count,validation_total_count,validation_summary,search_recipe_kind,search_submit_status,dom_search_candidates_found,dom_search_input_selector,dom_search_input_name,dom_search_input_type,dom_search_input_visible,dom_form_selector,dom_form_action,dom_form_method,dom_submit_selector,primary_request_method,primary_request_resource_type,primary_request_url_template,primary_request_post_data_template,primary_request_status,primary_request_header_names,primary_request_cookie_header,primary_request_curl,primary_xhr_method,primary_xhr_url_template,primary_xhr_post_data_template,primary_xhr_status,primary_xhr_header_names,primary_xhr_cookie_header,primary_xhr_curl,all_relevant_xhr_templates,final_url_template,final_result_kind,api_observed,hidden_form_observed,browser_required_observed,notes
4x4 Posi-Lok,4x4 Posi-Lok,https://4x4posi-lok.com/,https://4x4posi-lok.com/?s={sku},PSL-100,PSL-100|PSL-400|PSL-1100,0,3,PSL-100:blocked(Bot challenge page) | PSL-400:blocked(Bot challenge page) | PSL-1100:blocked(Bot challenge page),hidden_form_get,review,2,,,,,,,,,GET,document,https://4x4posi-lok.com/?s={sku},,0,,,curl -X GET 'https://4x4posi-lok.com/?s=PSL-100',,,,,,,,,https://4x4posi-lok.com/,blocked,no,yes,yes,No visible search input found
AccuAir Suspension,AccuAir Suspension,https://accuair.com/,https://accuair.com/search?q={sku}&options%5Bprefix%5D=last,AA-3837,AA-3837|AA-3836|AA-3838,0,3,AA-3837:blocked(Bot challenge page) | AA-3836:blocked(Bot challenge page) | AA-3838:blocked(Bot challenge page),xhr_api,review,2,input#Search,q,search,True,form,/search,get,"button[type=""submit""]",GET,document,https://accuair.com/search?q={sku}&options%5Bprefix%5D=last,,200,,,curl -X GET 'https://accuair.com/search?q=AA-3837&options%5Bprefix%5D=last',GET,https://accuair.com/search/suggest?q={sku}&resources[limit]=3&resources[limit_scope]=each&section_id=search-results,,0,:authority|:method|:path|:scheme|accept|accept-encoding|cookie|priority|referer|sec-ch-ua|sec-ch-ua-mobile|sec-ch-ua-platform|sec-fetch-dest|sec-fetch-mode|sec-fetch-site|user-agent,localization=US; cart_currency=USD; _shopify_y=c8b58284-650c-4cc2-97c4-13eeae435c46; _shopify_s=fbf01070-b2d8-40da-a534-bcf79d969594; _shopify_analytics=:AZzQxMXzAAEAJMXBZPlJZ-ru1gojOSaAUHZDYK23PrM6XdgESvUsg2TR_WNyO1J_-BXQ6II:; _shopify_...,"curl -X GET 'https://accuair.com/search/suggest?q=AA-3837&resources[limit]=3&resources[limit_scope]=each&section_id=search-results' -H ':authority: accuair.com' -H ':method: GET' -H ':path: /search/suggest?q=AA-3837&resources[limit]=3&resources[limit_scope]=each&section_id=search-results' -H ':scheme: https' -H 'accept: */*' -H 'accept-encoding: gzip, deflate, br, zstd' -H 'cookie: localization=US; cart_currency=USD; _shopify_y=c8b58284-650c-4cc2-97c4-13eeae435c46; _shopify_s=fbf01070-b2d8-40da-a534-bcf79d969594; _shopify_analytics=:AZzQxMXzAAEAJMXBZPlJZ-ru1gojOSaAUHZDYK23PrM6XdgESvUsg2TR_WNyO1J_-BXQ6II:; _shopify_essential=:AZzQxMXmAAEARgqP-4fahKY9nYFl6DYZcA25RMF0lHb0U5TlHSR7AE-J7fbe_dKV...",https://accuair.com/search/suggest?q={sku}&resources[limit]=3&resources[limit_scope]=each&section_id=search-results | https://accuair.com/cart?t=1773029089360&view=ajax | https://mnfoi.accuair.com/tag?name=Search | https://mnfoi.accuair.com/tag?name=PageView,https://accuair.com/search?q={sku}&options%5Bprefix%5D=last,blocked,yes,no,yes,Bot challenge page
Accutrim,Accutrim,https://www.accu-trim.com/,https://accu-trim.com/search?q={sku},AF-928,AF-928|AF-DRD3-5/25-35|AF-DRD4-7,2,3,AF-928:search_results | AF-DRD3-5/25-35:search_results(Search results page but SKU not visible in HTML (possible JS-rendered results)) | AF-DRD4-7:search_results,direct_template_get,review,0,,,,,,,,,GET,document,https://accu-trim.com/search?q={sku},,0,,,curl -X GET 'https://accu-trim.com/search?q=AF-928',,,,,,,,,https://accu-trim.com/lander,unknown,no,no,yes,Unknown page type
Adams Driveshaft & Offroad,Adams Driveshaft & Offroad,https://www.adamsdriveshaftoffroad.com/,https://www.adamsdriveshaftoffroad.com/search?q={sku},ADAMS-RAM-1350F-5GEN,ADAMS-RAM-1350F-5GEN|ADAMS-RAM-1410F-5GEN,0,2,ADAMS-RAM-1350F-5GEN:blocked(Bot challenge page) | ADAMS-RAM-1410F-5GEN:blocked(Bot challenge page),form_get,review,2,input#search-formheader-desktop-sections--21722154631455__header,q,search,True,form#search-header-desktop,/search,get,"button[type=""submit""]",GET,document,https://www.adamsdriveshaftoffroad.com/search?q={sku},,200,,,curl -X GET 'https://www.adamsdriveshaftoffroad.com/search?q=ADAMS-RAM-1350F-5GEN',,,,,,,,"https://monorail-edge.shopifysvc.com/v1/produce | https://www.adamsdriveshaftoffroad.com/search/suggest?&q={sku}&section_id=predictive-search&resources%5Bfields%5D=author,product_type,title,variants.sku,variants.title,vendor&resources%5Blimit%5D=4",https://www.adamsdriveshaftoffroad.com/search?q={sku}&options%5Bprefix%5D=last,blocked,no,no,yes,Bot challenge page
ADDICTIVE DESERT DESIGNS,ADDICTIVE DESERT DESIGNS,https://www.addictivedesertdesigns.com/,https://www.addictivedesertdesigns.com/search?type=product&options[prefix]=last&q={sku},ADD-AC8101801NA,ADD-AC8101801NA,0,1,ADD-AC8101801NA:blocked(Bot challenge page),form_get,review,1,"input[name=""q""]",q,search,True,form#HeaderSearchForm,/search,get,"button[type=""submit""]",GET,document,https://www.addictivedesertdesigns.com/search?type=product&options[prefix]=last&q={sku},,200,,,curl -X GET 'https://www.addictivedesertdesigns.com/search?type=product&options[prefix]=last&q=ADD-AC8101801NA',,,,,,,,https://api.config-security.com/event | https://monorail-edge.shopifysvc.com/v1/produce | https://googleads.g.doubleclick.net/pagead/viewthroughconversion/659347045/?random=1516131686&cv=11&fst=1773029328497&bg=ffffff&guid=ON&async=1&en=search&gtm=45be6341v9212116065za200zb846692115zd846692115xec&gcs=G111&gcd=13t3t3t3t5l1&dma=0&tag_exp=102015666~103116026~103200004~115938466~115938468~116024733~117484252~117625638&u_w=1280&u_h=720&url=https%3A%2F%2Fwww.addictivedesertdesigns.com%2Fsearch%3Ftype%3Dproduct%26options%5Bprefix%5D%3Dlast%26q%3D{sku}*&ref=https%3A%2F%2Fwww.addictivedesertdesigns.com%2F&label=PlVmCKKSuKcaEOWss7oC&capi=1&gtm_ee=1&frm=0&tiba=Search%3A%200%20results%20found%20for%20%22{sku}*%22&did=dN2ZkMj%2CdNTU0Yz%2CdYmNjMT%2CdNzYwYj&gdid=dN2ZkMj.dNTU0Yz.dYmNjMT&edid=dNzYwYj&hn=www.googleadservices.com&rdp=0&npa=0&pscdl=noapi&auid=254094996.1773029324&uaa=x86&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=Windows&uapv=10.0&uaw=0&ec_mode=c&_tu=AAI&gcl_ctr=5~0~0&data=event%3Dsearch%3Bsearch_term%3D{sku}*&category=acrcp_v1_512&em=tv.1&fmt=8&ct_cookie_present=false&crd=CLTesQIIobixAgixwbECCLDBsQIIscOxAgiKxbECCMLJsQIItMaxAgiT2rECCNvcsQIIh9uxAgjTxbECCOvMsQII7c6xAgjVz7ECCPTasQIIl9SxAgjJ27ECCLHhsQIIsuGxAgiw3rECShl0cmlnZ2VyO25hdmlnYXRpb24tc291cmNlWgMKAQFiAwoBAw&cerd=CgEA&fsk=ChAIgNm0zQYQs4q5q-GxucsBEiwA6hYbV-9mDMGv3cRKYyp5x4CY64f3UUxOGUEpGHWSm2bzdqTOBzr41bwYlRoChr4&pscrd=IhMIxLm6-viRkwMVnhx2Bh1uVQQbMgwIA2IICAAQABgAIAAyDAgEYggIABAAGAAgADIMCAdiCAgAEAAYACAAMgwICGIICAAQABgAIAAyDAgJYggIABAAGAAgADIMCApiCAgAEAAYACAAMgwIAmIICAAQABgAIAAyDAgLYggIABAAGAAgADIMCBViCAgAEAAYACAAMgwIH2IICAAQABgAIAAyDAgTYggIABAAGAAgADIMCBJiCAgAEAAYACAAOidodHRwczovL3d3dy5hZGRpY3RpdmVkZXNlcnRkZXNpZ25zLmNvbS9CWENoRUlnTm0welFZUXY4cmoxdHE4bE5HWkFSSXRBTU5SeTdkNlh6RldlRnh6Skp5cE5Jb2ZFTG5DTEw5YlQ4RmlnSk9hcmpRbGJENnlrVWlud1YwX2NFY1p6DAgJYggIABAAGAAgAA | https://googleads.g.doubleclick.net/pagead/viewthroughconversion/659347045/?random=1996382433&cv=11&fst=1773029328488&bg=ffffff&guid=ON&async=1&en=conversion&gtm=45be6341v9212116065z8846692115za200zb846692115zd846692115xea&gcs=G111&gcd=13t3t3t3t5l1&dma=0&tag_exp=102015666~103116026~103200004~115938466~115938468~116024733~117484252~117625638&u_w=1280&u_h=720&url=https%3A%2F%2Fwww.addictivedesertdesigns.com%2Fsearch%3Ftype%3Dproduct%26options%5Bprefix%5D%3Dlast%26q%3D{sku}*&ref=https%3A%2F%2Fwww.addictivedesertdesigns.com%2F&label=L7LJCIGWudkCEOWss7oC&capi=1&frm=0&tiba=Search%3A%200%20results%20found%20for%20%22{sku}*%22&did=dN2ZkMj%2CdNTU0Yz%2CdYmNjMT&gdid=dN2ZkMj.dNTU0Yz&edid=dN2ZkMj.dNTU0Yz.dYmNjMT&value=1500.00&hn=www.googleadservices.com&npa=0&pscdl=noapi&auid=254094996.1773029324&uaa=x86&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=Windows&uapv=10.0&uaw=0&ec_mode=a&_tu=CA&gcl_ctr=3~0~0&category=acrcp_v1_512&em=tv.1&fmt=8&ct_cookie_present=false&crd=CLTesQIIobixAgixwbECCLDBsQIIscOxAgiKxbECCMLJsQIItMaxAgiT2rECCNvcsQIIh9uxAgjTxbECCOvMsQII7c6xAgjVz7ECCPTasQIIl9SxAgjJ27ECCLHhsQIIs-GxAgiv3rECShR0cmlnZ2VyPWV2ZW50LXNvdXJjZVoDCgEBYgMKAQM&cerd=CgSH3b0t&eitems=ChAIgNm0zQYQzryI9fmZgKkVEh0AB_N9WPxoG1L4jOeBqWTE8Of51SJvieLmwcCAww&fsk=ChAIgNm0zQYQs4q5q-GxucsBEiwA6hYbVyuaos67jlLmN1nc_H96uqIix13fDdv_EkjciP1v4lGWdPrreFRnZRoCsqo&pscrd=IhMIwP-5-viRkwMVeNLnAx0DBzTvMgwIA2IICAAQABgAIAAyDAgEYggIABAAGAAgADIMCAdiCAgAEAAYACAAMgwICGIICAAQABgAIAAyDAgJYggIABAAGAAgADIMCApiCAgAEAAYACAAMgwIAmIICAAQABgAIAAyDAgLYggIABAAGAAgADIMCBViCAgAEAAYACAAMgwIH2IICAAQABgAIAAyDAgTYggIABAAGAAgADIMCBJiCAgAEAAYACAAOidodHRwczovL3d3dy5hZGRpY3RpdmVkZXNlcnRkZXNpZ25zLmNvbS9CWENoRUlnTm0welFZUXY4cmoxdHE4bE5HWkFSSXRBTU5SeTdmbUNNQlRGYTlmVjRGUmFNRmh1NXVqNnpjTzFVN2o1X0pvZ1FsT3dMbEFEeGxRQk11TTlMY3d6DAgJYggIABAAGAAgAA | https://googleads.g.doubleclick.net/pagead/viewthroughconversion/659347045/?random=1743225616&cv=11&fst=1773029328496&bg=ffffff&guid=ON&async=1&en=page_view&gtm=45be6341v9212116065za200zb846692115zd846692115xec&gcs=G111&gcd=13t3t3t3t5l1&dma=0&tag_exp=102015666~103116026~103200004~115938466~115938468~116024733~117484252~117625638&u_w=1280&u_h=720&url=https%3A%2F%2Fwww.addictivedesertdesigns.com%2Fsearch%3Fq%3D{sku}*%26type%3Dproduct&ref=https%3A%2F%2Fwww.addictivedesertdesigns.com%2F&top=https%3A%2F%2Fwww.addictivedesertdesigns.com%2Fsearch%3Ftype%3Dproduct%26options%5Bprefix%5D%3Dlast%26q%3D{sku}*&label=2f4SCJySuKcaEOWss7oC&capi=1&gtm_ee=1&tiba=Search%3A%200%20results%20found%20for%20%22{sku}*%22&frm=0&did=dN2ZkMj%2CdNTU0Yz%2CdYmNjMT%2CdNzYwYj&gdid=dN2ZkMj.dNTU0Yz.dYmNjMT&edid=dNzYwYj&hn=www.googleadservices.com&rdp=0&npa=0&pscdl=noapi&auid=254094996.1773029324&uaa=x86&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=Windows&uapv=10.0&uaw=0&ec_mode=c&_tu=AAI&gcl_ctr=4~0~0&data=event%3Dpage_view%3Bpage_path%3D%2Fsearch&category=acrcp_v1_512&em=tv.1&fmt=8&ct_cookie_present=false&crd=CLTesQIIobixAgixwbECCLDBsQIIscOxAgiKxbECCMLJsQIItMaxAgiT2rECCNvcsQIIh9uxAgjTxbECCOvMsQII7c6xAgjVz7ECCPTasQIIl9SxAgjJ27ECCLHhsQIIsuGxAkowbm90LWV2ZW50LXNvdXJjZSwgbm90LW5hdmlnYXRpb24tc291cmNlLCB0cmlnZ2VyWgMKAQFiAwoBAw&cerd=CgEA&fsk=ChAIgNm0zQYQs4q5q-GxucsBEiwA6hYbV-yJIyeJXYrvXyReQc0UDbqjjIHGMNtzZRE7k8qSslrb5Yi6OY04WxoCiSI&pscrd=IhMInJq6-viRkwMV8-bnAx2HQjvDMgwIA2IICAAQABgAIAAyDAgEYggIABAAGAAgADIMCAdiCAgAEAAYACAAMgwICGIICAAQABgAIAAyDAgJYggIABAAGAAgADIMCApiCAgAEAAYACAAMgwIAmIICAAQABgAIAAyDAgLYggIABAAGAAgADIMCBViCAgAEAAYACAAMgwIH2IICAAQABgAIAAyDAgTYggIABAAGAAgADIMCBJiCAgAEAAYACAAOidodHRwczovL3d3dy5hZGRpY3RpdmVkZXNlcnRkZXNpZ25zLmNvbS9CWENoRUlnTm0welFZUXY4cmoxdHE4bE5HWkFSSXRBTU5SeTdkTTZTRFg1RmtSam0tUmhBcWVyVXc1dHJ0X3pNUXkza21Rel9rdjFuVGRCOFlheENteUFlMWd6DAgJYggIABAAGAAgAA | https://c.heatmap.com/3556/addictivedesertdesigns.com-search.json | https://www.googleadservices.com/pagead/conversion/659347045/?random=1773029328488&cv=11&fst=1773029328488&bg=ffffff&guid=ON&async=1&en=conversion&gtm=45be6341v9212116065z8846692115za200zb846692115zd846692115xea&gcs=G111&gcd=13t3t3t3t5l1&dma=0&tag_exp=102015666~103116026~103200004~115938466~115938468~116024733~117484252~117625638&u_w=1280&u_h=720&url=https%3A%2F%2Fwww.addictivedesertdesigns.com%2Fsearch%3Ftype%3Dproduct%26options%5Bprefix%5D%3Dlast%26q%3D{sku}*&ref=https%3A%2F%2Fwww.addictivedesertdesigns.com%2F&label=L7LJCIGWudkCEOWss7oC&capi=1&frm=0&tiba=Search%3A%200%20results%20found%20for%20%22{sku}*%22&did=dN2ZkMj%2CdNTU0Yz%2CdYmNjMT&gdid=dN2ZkMj.dNTU0Yz&edid=dN2ZkMj.dNTU0Yz.dYmNjMT&bttype=purchase&value=1500.00&hn=www.googleadservices.com&npa=0&pscdl=noapi&auid=254094996.1773029324&uaa=x86&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=Windows&uapv=10.0&uaw=0&ec_mode=a&_tu=CA&gcl_ctr=3~0~0&category=acrcp_v1_512&em=tv.1&fmt=7 | https://www.googleadservices.com/pagead/conversion/659347045/?random=1773029328497&cv=11&fst=1773029328497&bg=ffffff&guid=ON&async=1&en=search&gtm=45be6341v9212116065za200zb846692115zd846692115xec&gcs=G111&gcd=13t3t3t3t5l1&dma=0&tag_exp=102015666~103116026~103200004~115938466~115938468~116024733~117484252~117625638&u_w=1280&u_h=720&url=https%3A%2F%2Fwww.addictivedesertdesigns.com%2Fsearch%3Ftype%3Dproduct%26options%5Bprefix%5D%3Dlast%26q%3D{sku}*&ref=https%3A%2F%2Fwww.addictivedesertdesigns.com%2F&label=PlVmCKKSuKcaEOWss7oC&capi=1&gtm_ee=1&frm=0&tiba=Search%3A%200%20results%20found%20for%20%22{sku}*%22&did=dN2ZkMj%2CdNTU0Yz%2CdYmNjMT%2CdNzYwYj&gdid=dN2ZkMj.dNTU0Yz.dYmNjMT&edid=dNzYwYj&hn=www.googleadservices.com&rdp=0&npa=0&pscdl=noapi&auid=254094996.1773029324&uaa=x86&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=Windows&uapv=10.0&uaw=0&ec_mode=c&_tu=AAI&gcl_ctr=5~0~0&data=event%3Dsearch%3Bsearch_term%3D{sku}*&category=acrcp_v1_512&em=tv.1&fmt=7 | https://ct.pinterest.com/v3/?tid=2613665271987&pd=%7B%22np%22%3A%22gtm%22%2C%22gtm_version%22%3A%22legacy%22%2C%22pin_unauth%22%3A%22dWlkPU1USmxZMlkzWmpRdFl6Z3lOQzAwTmpFeUxXSXpOak10TW1Kak1EaGhObVpqTTJZMA%22%7D&event=init&ad=%7B%22loc%22%3A%22https%3A%2F%2Fwww.addictivedesertdesigns.com%2Fsearch%3Ftype%3Dproduct%26options%5Bprefix%5D%3Dlast%26q%3D{sku}*%22%2C%22ref%22%3A%22https%3A%2F%2Fwww.addictivedesertdesigns.com%2F%22%2C%22if%22%3Afalse%2C%22sh%22%3A720%2C%22sw%22%3A1280%2C%22mh%22%3A%22e258cfd2%22%2C%22is_eu%22%3Afalse%2C%22epikDataSource%22%3Anull%2C%22derivedEpikDataSource%22%3Anull%2C%22unauthIdDataSource%22%3A%22fpc%22%2C%22architecture%22%3A%22x86%22%2C%22bitness%22%3A%2264%22%2C%22brands%22%3A%5B%7B%22brand%22%3A%22Not%3AA-Brand%22%2C%22version%22%3A%2299%22%7D%2C%7B%22brand%22%3A%22HeadlessChrome%22%2C%22version%22%3A%22145%22%7D%2C%7B%22brand%22%3A%22Chromium%22%2C%22version%22%3A%22145%22%7D%5D%2C%22mobile%22%3Afalse%2C%22model%22%3A%22%22%2C%22platform%22%3A%22Windows%22%2C%22platformVersion%22%3A%2210.0%22%2C%22uaFullVersion%22%3A%22145.0.7632.6%22%2C%22ecm_enabled%22%3Afalse%7D&cb=1773029328543 | https://www.googleadservices.com/pagead/conversion/659347045/?random=1773029328496&cv=11&fst=1773029328496&bg=ffffff&guid=ON&async=1&en=page_view&gtm=45be6341v9212116065za200zb846692115zd846692115xec&gcs=G111&gcd=13t3t3t3t5l1&dma=0&tag_exp=102015666~103116026~103200004~115938466~115938468~116024733~117484252~117625638&u_w=1280&u_h=720&url=https%3A%2F%2Fwww.addictivedesertdesigns.com%2Fsearch%3Fq%3D{sku}*%26type%3Dproduct&ref=https%3A%2F%2Fwww.addictivedesertdesigns.com%2F&top=https%3A%2F%2Fwww.addictivedesertdesigns.com%2Fsearch%3Ftype%3Dproduct%26options%5Bprefix%5D%3Dlast%26q%3D{sku}*&label=2f4SCJySuKcaEOWss7oC&capi=1&gtm_ee=1&tiba=Search%3A%200%20results%20found%20for%20%22{sku}*%22&frm=0&did=dN2ZkMj%2CdNTU0Yz%2CdYmNjMT%2CdNzYwYj&gdid=dN2ZkMj.dNTU0Yz.dYmNjMT&edid=dNzYwYj&hn=www.googleadservices.com&rdp=0&npa=0&pscdl=noapi&auid=254094996.1773029324&uaa=x86&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=Windows&uapv=10.0&uaw=0&ec_mode=c&_tu=AAI&gcl_ctr=4~0~0&data=event%3Dpage_view%3Bpage_path%3D%2Fsearch&category=acrcp_v1_512&em=tv.1&fmt=7,https://www.addictivedesertdesigns.com/search?type=product&options[prefix]=last&q={sku}*,blocked,no,no,yes,Bot challenge page
ADS Shocks,ADS Shocks,https://www.adsshocks.com/,https://www.adsshocks.com/search/?q={sku},ADS-100ADS-10084,ADS-100ADS-10084|ADS-250-F2R45-000|ADS-250-F2F45-030,0,3,ADS-100ADS-10084:blocked(HTTP 403) | ADS-250-F2R45-000:blocked(HTTP 403) | ADS-250-F2F45-030:blocked(HTTP 403),hidden_form_get,review,3,,,,,,,,,GET,document,https://www.adsshocks.com/search/?q={sku},,0,,,curl -X GET 'https://www.adsshocks.com/search/?q=ADS-100ADS-10084',,,,,,,,,https://www.adsshocks.com/,blocked,no,yes,yes,No visible search input found
AEM,AEM,https://www.aemintakes.com/,https://www.aemintakes.com/search/{sku},AEM-30-3351,AEM-30-3351|AEM-21-9032DS|AEM-21-9221DS,0,3,AEM-30-3351:blocked(HTTP 403) | AEM-21-9032DS:blocked(HTTP 403) | AEM-21-9221DS:blocked(HTTP 403),form_get,review,8,input#search,q,text,True,form#search_mini_form,https://www.aemintakes.com/catalogsearch/result/,get,"button[type=""submit""]",GET,document,https://www.aemintakes.com/search/{sku},,403,,,curl -X GET https://www.aemintakes.com/search/AEM-30-3351,,,,,,,,,https://www.aemintakes.com/catalogsearch/result/?q={sku},blocked,no,no,yes,Bot challenge or rate limit
AEV | American Expedition Vehicles,AEV | American Expedition Vehicles,https://aev-conversions.com/,https://aev-conversions.com/search?q={sku},AEV-N0340000AB,AEV-N0340000AB|AEV-N0340001AB|AEV-10404020AA,0,3,AEV-N0340000AB:blocked(Bot challenge page) | AEV-N0340001AB:blocked(Bot challenge page) | AEV-10404020AA:blocked(Bot challenge page),hidden_form_get,review,1,,,,,,,,,GET,document,https://aev-conversions.com/search?q={sku},,0,,,curl -X GET 'https://aev-conversions.com/search?q=AEV-N0340000AB',,,,,,,,https://aev-conversions.com/api/event/collect | https://aev-conversions.com/cart?section_id=mini-cart | https://aev-conversions.com/api/collect,https://aev-conversions.com/,blocked,no,yes,yes,No visible search input found
AFE,AFE,https://afepower.com/,https://afepower.com/catalogsearch/result/?q={sku},46-71370B,46-71370B|AFE-46-20039|AFE-20-91059,0,3,46-71370B:blocked(Bot challenge page) | AFE-46-20039:blocked(Bot challenge page) | AFE-20-91059:blocked(Bot challenge page),xhr_api,review,1,input#search,q,text,True,form#search_mini_form,https://afepower.com/catalogsearch/result/,get,"button[type=""submit""]",GET,document,https://afepower.com/catalogsearch/result/?q={sku},,200,,,curl -X GET 'https://afepower.com/catalogsearch/result/?q=46-71370B',GET,https://afepower.com/search/ajax/suggest/?q={sku}&_=1773029082865,,0,:authority|:method|:path|:scheme|accept|accept-encoding|cookie|priority|referer|sec-ch-ua|sec-ch-ua-mobile|sec-ch-ua-platform|sec-fetch-dest|sec-fetch-mode|sec-fetch-site|user-agent|x-requested-with,zCountry=US; zHello=1; _gcl_au=1.1.690246498.1773029083; _ga_NY17S3MLJ9=GS2.1.s1773029083$o1$g0$t1773029083$j60$l0$h0; _ga=GA1.1.1111831631.1773029083; _fbp=fb.1.1773029083554.75713588256640111; form_key=vzGd4KkIwbSOTGWh; mage-cache-stor...,"curl -X GET 'https://afepower.com/search/ajax/suggest/?q=46-71370B&_=1773029082865' -H ':authority: afepower.com' -H ':method: GET' -H ':path: /search/ajax/suggest/?q=46-71370B&_=1773029082865' -H ':scheme: https' -H 'accept: application/json, text/javascript, */*; q=0.01' -H 'accept-encoding: gzip, deflate, br, zstd' -H 'cookie: zCountry=US; zHello=1; _gcl_au=1.1.690246498.1773029083; _ga_NY17S3MLJ9=GS2.1.s1773029083$o1$g0$t1773029083$j60$l0$h0; _ga=GA1.1.1111831631.1773029083; _fbp=fb.1.1773029083554.75713588256640111; form_key=vzGd4KkIwbSOTGWh; mage-cache-storage={}; mage-cache-storage-section-invalidation={}; mage-messages=; form_key=vzGd4KkIwbSOTGWh; wp_ga4_customerGroup=NOT%20LOGGED...",https://afepower.com/search/ajax/suggest/?q={sku}&_=1773029082865 | https://afepower.com/amfinder/product/options/?product_id=67735&_=1773029090411 | https://afepower.com/amfinder/product/references/?product_id=67735&_=1773029090412 | https://afepower.com/review/product/listAjax/id/67735/ | https://afepower.com/amcookie/cookie/cookies?restriction=denied | https://afepower.com/customer/section/load/?sections=my-garage&_=1773029089947 | https://afepower.com/customer/section/load/?sections=my-garage&_=1773029090410 | https://afepower.com/static/version1772629361/frontend/Ecommerce121/afe/en_US/js-translation.json,https://afepower.com/afe-power-{sku}-engine-oil-pan-black-finish-machined-fins,blocked,yes,no,yes,Bot challenge page
Air Lift Company,Air Lift Company,https://www.airliftcompany.com/,https://airliftcompany.com/search?q={sku},AL-57399,AL-57399|AL-57575|AL-88399,3,3,AL-57399:search_results | AL-57575:search_results | AL-88399:search_results,form_get,ok,1,"input[name=""search""]",search,text,True,form,,get,,GET,document,https://airliftcompany.com/search?q={sku},,0,,,curl -X GET 'https://airliftcompany.com/search?q=AL-57399',,,,,,,,https://www.airliftcompany.com/search?q={sku}&_rsc=vusbg | https://www.google.com/ccm/collect?frm=0&en=page_view&dl=https%3A%2F%2Fwww.airliftcompany.com%2Fsearch&scrsrc=www.googletagmanager.com&rnd=1466285180.1773029204&dt=Search%20%7C%20Air%20Lift%20Company&auid=1151210978.1773029204&navt=n&npa=0&gtm=45be6341v9135165445za20gzb894965365zd894965365xec&gcd=13l3l3l3l1l1&dma=0&tag_exp=103116026~103200004~115938465~115938469~116024733~117484252&apve=1&apvf=f&apvc=0&tids=AW-1034877110&tid=AW-1034877110&tft=1773029207579&tfd=9129,https://www.airliftcompany.com/search?q={sku},search_results,no,no,no,Search results page
