search_family,vendors_tested,validated_count,partial_count,failed_count,no_samples_count,success_any_count,total_tested_skus,total_success_skus,family_success_ratio,dominant_error
asp_search_ss,1,1,0,0,0,1,2,2,1.00,
bigcommerce_search_html_q,2,0,0,2,0,0,4,0,0.00,No SKU-specific product result found from search page.
bigcommerce_search_php_query,2,0,0,2,0,0,4,0,0.00,No SKU-specific product result found from search page.
custom_search,2,1,0,1,0,1,4,2,0.50,No SKU-specific product result found from search page.
drupal_search_api,1,1,0,0,0,1,2,2,1.00,
generic_keyword_search,2,1,0,1,0,1,4,2,0.50,No SKU-specific product result found from search page.
generic_q_search,2,0,0,2,0,0,4,0,0.00,No SKU-specific product result found from search page.
generic_query_search,2,0,0,2,0,0,4,0,0.00,No SKU-specific product result found from search page. https://powerdriven.com/products/vp44 (HTTP 404) | https://powerdriven.com/products/ford (HTTP 404) | https://powerdriven.com/products/turbo (HTTP 404)
json_product_search,1,0,0,1,0,0,2,0,0.00,JSON API search returned no results
magento_catalogsearch,2,2,0,0,0,2,4,4,1.00,
part_number_search,2,0,0,2,0,0,4,0,0.00,No SKU-specific product result found from search page.
partslogic_search_redirect,1,0,0,1,0,0,2,0,0.00,No SKU-specific product result found from search page.
path_or_query_search,2,0,0,2,0,0,4,0,0.00,https://www.adsshocks.com/search/?q=ADS-100ADS-10084 (Bot challenge page detected)
product_search_search_prod,2,0,0,2,0,0,4,0,0.00,No SKU-specific product result found from search page.
searchasp_keyword,2,0,1,1,0,1,4,1,0.25,No SKU-specific product result found from search page.
shopify_product_search,2,0,0,1,1,0,1,0,0.00,No SKU-specific product result found from search page.
substring_search,2,1,0,1,0,1,4,2,0.50,https://www.fumotousa.com/?target=search&mode=search&substring=F-104&including=all (Bot challenge page detected)
wordpress_s_query,2,2,0,0,0,2,4,4,1.00,
wordpress_search_path,2,2,0,0,0,2,4,4,1.00,
