vendor,display_name,interaction_strategy,search_term_strategy,search_term_fallbacks,direct_url_sufficient,search_entry_url,search_container_selector,search_input_selector,search_submit_selector,result_container_selector,result_link_selector,result_match_mode,api_request_url_template,api_response_collection,api_result_id_field,api_result_sku_field,product_url_template,validation_sample_skus,validation_summary,notes
FASS Fuel Systems,FASS Fuel Systems,json_api_id_detail,,,no,https://www.fassride.com/,.midway-search-input-container,input#search-field,,.search-box,a.link[href^='/details/'],exact_partNumber_then_normalized_then_best_scored,https://shop.fassride.com/Products/Search?search={sku},products,id,partNumber,https://www.fassride.com/details?id={id},NDTSC14140F110G|FASS-PFD-1001|FASS-PF-3001|FASS-XWS-3002,"NDTSC14140F110G resolves cleanly via exact partNumber match to id 155723 and opens https://www.fassride.com/details?id=155723. Prefix-alias samples like FASS-PFD-1001 and FASS-PF-3001 return fuzzy JSON hits, so the raw search URL is not sufficient by itself unless result scoring is applied.",Prefer API-first search -> score JSON products by partNumber -> build details?id={id}. Popup anchor confirms the same id-based detail route.
No Limit Fabrication,No Limit Fabrication,results_page_clickthrough,,,yes,https://nolimitfabrication.com/,#pl-search-bar-container,input#sui-search-bar-input,button.searchBar_styledButton__stNhX,body search results page,a[href*='/i-'],exact_sku_in_result_block_then_first_result,,,,,https://nolimitfabrication.com/i-{id}?q={sku},67OP|NL-67ICP11161|NL-67ICR11162|NL-67ICP11162,"search.html?q=67OP returns product links like /i-30519976?q=67OP and exact SKU text in the result block. The homepage Partslogic widget exists, but direct typing in headless did not emit a predictive request; the results page route is the stronger deterministic entry point.","Treat /search.html?q={sku} as the primary resolver and click the best /i-... result. The homepage widget is useful for manual validation, not required for runtime."
Tekonsha,Tekonsha,form_post_then_results_page,,,no,https://www.tekonsha.com/,#SearchContainer,input#ProductSearch,button#SearchWebsite,body search results page,,post_search_then_review_results,https://www.tekonsha.com/api/ue/AddSiteVisitorSearchResults,,,,https://www.tekonsha.com/SearchResults,TEK-9030,"Homepage search form posts search/category/__RequestVerificationToken to /api/ue/AddSiteVisitorSearchResults, then lands on GET /SearchResults. Autocomplete endpoint: /Api/Search/GetProdAutocomplete?value={sku}&cat=all. Sample TEK-9030 yielded 0 results.",Known custom POST search flow. No clean GET search URL template recorded yet.
PPE (Pacific Performance Eng.),PPE (Pacific Performance Eng.),shopify_suggest_json,drop_first_dash_token,drop_first_dash_token>trim_last_char,no,https://ppepower.com/,,,,,,,"https://ppepower.com/search/suggest.json?q={sku}&resources[type]=product,page,article,collection&resources[limit]=10&resources[options][unavailable_products]=hide&resources[options][fields]=title,author,body,product_type,tag,variants.sku,variants.title,vendor",,,,,PPE-158031500|PPE-110100063|PPE-124064600|PPE-315025101|PPE-315025102,"Live validation on March 14, 2026 showed full PPE-prefixed queries fail while stripped numeric queries resolve current products. Variant-style misses recover when the stripped numeric term is shortened by one trailing digit.","Shopify suggest JSON is the primary resolver for PPE. Search with the stripped term first, then retry with a one-character trim to catch parent-level variant listings."
Industrial Injection,Industrial Injection,shopify_suggest_json,drop_first_dash_token,,no,https://industrialinjection.com/,,,,,,,"https://industrialinjection.com/search/suggest.json?q={sku}&resources[type]=product,page,article,collection&resources[limit]=10&resources[options][unavailable_products]=hide&resources[options][fields]=title,author,body,product_type,tag,variants.sku,variants.title,vendor",,,,,IIS-2GU101|IIS-2GU102|IIS-12709901060SE|IIS-12709901074SE|IIS-848212-0002-XR,"Live validation on March 14, 2026 showed full II/IIS-prefixed queries fail while the term after the first dash consistently resolves the intended product.",Use Shopify suggest JSON first and strip the leading vendor token from the SKU before search.
ADDICTIVE DESERT DESIGNS,ADDICTIVE DESERT DESIGNS,shopify_suggest_json,drop_first_dash_token,,no,https://www.addictivedesertdesigns.com/,,,,,,,"https://www.addictivedesertdesigns.com/search/suggest.json?q={sku}&resources[type]=product,page,article,collection&resources[limit]=10&resources[options][unavailable_products]=hide&resources[options][fields]=title,author,body,product_type,tag,variants.sku,variants.title,vendor",,,,,ADD-AC8101801NA,"Live validation on March 14, 2026 showed the full ADD-prefixed term missed while the post-prefix term resolved successfully via Shopify suggest JSON.",Use the same Shopify-family transform as PPE and Industrial: strip the vendor token before search.
SSBC-USA,SSBC-USA,shopify_suggest_json,drop_first_dash_token,,no,https://ssbc-usa.com/,,,,,,,"https://ssbc-usa.com/search/suggest.json?q={sku}&resources[type]=product,page,article,collection&resources[limit]=10&resources[options][unavailable_products]=hide&resources[options][fields]=title,author,body,product_type,tag,variants.sku,variants.title,vendor",,,,,SSBC-A434-11BLK|SSBC-A434-11R|SSBC-A434-11-DS|SSBC-A434-11BLK-DS|SSBC-A434-11R-DS,"Live validation on March 14, 2026 showed 5/5 recent SSBC SKUs resolving via Shopify suggest JSON when the leading SSBC token was stripped.",Use Shopify suggest JSON first and strip the leading vendor token from the SKU before search.
Turbo Time USA,Turbo Time USA,shopify_suggest_json,drop_first_dash_token,,no,https://turbotimeusa.com/,,,,,,,"https://turbotimeusa.com/search/suggest.json?q={sku}&resources[type]=product,page,article,collection&resources[limit]=10&resources[options][unavailable_products]=hide&resources[options][fields]=title,author,body,product_type,tag,variants.sku,variants.title,vendor",,,,,TTP-GXR2-D-1116|TTP-GXR1-60-0307|TTP-GXR2-60-0307|TTP-GXR25-60-0307|TTP-GXR25-60-0307-V,"Live validation on March 14, 2026 showed 5/5 recent Turbo Time USA SKUs resolving through Shopify suggest JSON when the leading TTP token was stripped.",Use Shopify suggest JSON first and strip the leading vendor token from the SKU before search.
Empire Performance Engineering,Empire Performance Engineering,shopify_suggest_json,identity,drop_restock_suffix,no,https://empireperformance.com.au/,,,,,,,"https://empireperformance.com.au/search/suggest.json?q={sku}&resources[type]=product,page,article,collection&resources[limit]=10&resources[options][unavailable_products]=hide&resources[options][fields]=title,author,body,product_type,tag,variants.sku,variants.title,vendor",,,,,BDR20260EV + BT3008PRO + BDR20270EV + BT3009PRO|BDR20260EV + BT3008PRO|BDR20270EV + BT3009PRO|KN77-1567KS RESTOCK-1012|CAB02 RESTOCK-995,"Live validation on March 14, 2026 showed 5/5 current Empire Performance Engineering SKUs resolving through Shopify suggest JSON. Most resolve as exact queries; restock-tagged SKUs resolve after trimming the trailing RESTOCK suffix.","Use Shopify suggest JSON first. Try the full vendor SKU exactly, then retry without a trailing RESTOCK suffix when present."
Alpharex,Alpharex Performance Lighting,results_page_clickthrough,drop_first_dash_token,,no,https://alpharexusa.com/,,,,body search results page,a[href*='/products/'],first_result,,,,,,ARX-880538|ARX-880536|ARX-880537|ARX-880108|ARX-880106|ARX-880107|ARX-880140|ARX-880141|ARX-880142|ARX-880143|ARX-880520,"March 14, 2026 live validation showed 10/10 safe current Alpharex SKUs resolving through the generic search results page when the ARX prefix is stripped. Additional manual confirmation: 880520 also resolves as a 1-result hit. Exact ARX-prefixed queries miss, and some terms like 810003 still overmatch.","Use the standard Alpharex search results page, strip the leading ARX token before search, then click the first /products/ result and confirm on the detail page."
Dynomite Diesel,Dynomite Diesel,results_page_clickthrough,identity,,no,https://dynomitediesel.com/,,,,body search results page,a[href*='/products/'],first_result,,,,,,DDP67-50NZ|DDPL5P-STK|DDP305-50NZ|DDPLB7-50NZ|DDP325-50NZ|DDPLLY-50NZ|DDPLBZ-50NZ|DDPLMM-50NZ|DDPISB-50NZ|DDPLB7-75NZ,"March 14, 2026 live validation showed 10/10 safe current Dynomite SKUs resolving through the exact search-results page with first-result clickthrough. Package-style SKUs can still miss, so keep Dynomite in this separate clickthrough subgroup rather than the Shopify-suggest subgroup.","Treat Dynomite as a separate Shopify-family clickthrough rule: search exact SKU on the results page, click the first /products/ result, then confirm on the detail page."
Longhorn Fab Shop,Longhorn Fab Shop,results_page_clickthrough,identity,drop_first_dash_token,no,https://longhornfabshop.com/,,,,body search results page,a[href*='?searchid='],first_result,,,,,,LFS-201051|LFS-200997|201052-C-V2,"March 14, 2026 runtime validation showed Longhorn resolving through the standard BigCommerce results page. Raw MPN-style terms like 201052-C-V2 work directly, while prefixed Shopify SKUs such as LFS-201051 recover when the leading token is stripped.","Treat Longhorn as a BigCommerce clickthrough vendor with a safe fallback chain: try the incoming search term as-is first, then retry without the leading vendor token when the sheet or Shopify cache provides an LFS-prefixed SKU."
Mechman Alternators,Mechman Alternators,results_page_clickthrough,drop_first_dash_token,,no,https://www.mechman.com/,,,,body search results page,a[href*='?searchid='],first_result,,,,,,MECH-7796240|MECH-B11348400B,"March 14, 2026 runtime validation showed current Mechman SKUs resolving after stripping the leading vendor token. Exact prefixed searches underperform or return zero direct matches.","Use the standard BigCommerce results page, strip the leading vendor token before search, then click the first scored searchid result."
Crown Brake Lines,Crown Brake Lines,results_page_clickthrough,drop_first_dash_token,,no,https://crownperformance.com/,,,,body search results page,a[href*='?searchid='],first_result,,,,,,CROWN-GM77FR-00-CLE|CROWN-FORD92FR-0-CLE,"March 14, 2026 runtime validation showed Crown returning unrelated branded items on exact prefixed searches, while the post-prefix term resolved the intended brake-line kits cleanly.","Strip the leading CROWN token before search, then click the first scored searchid result from the BigCommerce results page."
Rotomaster,Rotomaster,results_page_clickthrough,drop_first_dash_token,,no,https://rotomaster.com/,,,,body search results page,a[href*='?searchid='],first_result,,,,,,ROT-H1350212N|ROT-S1640303N,"March 14, 2026 runtime validation showed Rotomaster resolving correctly both ways, but stripping the leading ROT token narrows the search to the intended product faster and with fewer competing results.","Prefer the post-prefix term on Rotomaster, then click the first scored searchid result."
SoCal SuperTrucks,SoCal SuperTrucks,results_page_clickthrough,drop_first_dash_token,,no,https://socalsupertrucks.com/,,,,body search results page,a[href*='?searchid='],first_result,,,,,,SS-200215|SS-200200,"March 14, 2026 runtime validation showed exact SS-prefixed searches landing on generic brand merchandise, while the stripped numeric term resolved the intended product pages.","Strip the leading SS token before search, then click the first scored searchid result."
Rock Krawler,Rock Krawler,results_page_clickthrough,drop_first_dash_token,,no,https://rockkrawler.com/,,,,body search results page,a[href*='?searchid='],first_result,,,,,,RK-RK02542|RK-F2XF4005,"March 14, 2026 runtime validation showed exact RK-prefixed searches overmatching generic RK merchandise, while the post-prefix term resolved the intended suspension products.","Strip the leading vendor token before search, then click the first scored searchid result on the BigCommerce results page."
Tork Teknology,Tork Teknology,results_page_clickthrough,drop_first_dash_token,,no,https://www.torkteknology.com/,,,,body search results page,a[href*='?searchid='],first_result,,,,,,DPP-BBS010|DPP-CBS010,"March 14, 2026 runtime validation showed exact prefixed searches can overmatch adjacent pressure-snubber products, while the post-prefix term cleanly resolved both BBS010 and CBS010 product pages.","Strip the leading DPP token before search, then click the first scored searchid result."
Beans Diesel | Bean Machine,Beans Diesel | Bean Machine,results_page_clickthrough,drop_first_dash_token,,no,https://bdpshop.com/,,,,body search results page,a[href*='?searchid='],first_result,,,,,,BDP-280003|BDP-280032,"March 14, 2026 runtime validation showed Beans Diesel product pages resolving correctly when the BDP prefix is removed. Exact prefixed searches overmatched broader brand results like Bean Machine accessories.","Strip the leading BDP token before search, then click the first scored searchid result."
Aeroturbine,Aeroturbine,results_page_clickthrough,identity,,no,https://aeroexhaust.com/,,,,body search results page,a[href*='/i-'],first_result,,,,,,AERO-AR20|AERO-AR25,"March 14, 2026 2-sample runtime validation showed 2/2 Aeroturbine SKUs resolving via BigCommerce results page clickthrough with exact identity search. The /i-... product links resolve directly without any prefix transform.",Use exact SKU as-is on the BigCommerce search results page and click the first /i-... result link.
Centerforce Performance Clutch,Centerforce Performance Clutch,results_page_clickthrough,drop_first_dash_token,,no,https://www.centerforce.com/,,,,body search results page,a[href*='/i-'],first_result,,,,,,CFC-N1774|CFC-315474898,"March 14, 2026 2-sample runtime validation showed 2/2 Centerforce SKUs resolving after stripping the leading CFC prefix. Exact prefixed searches returned zero results.","Strip the leading vendor token before search, then click the first /i-... result link on the BigCommerce results page."
Clutch Masters,Clutch Masters,results_page_clickthrough,identity,,no,https://clutchmasters.com/,,,,body search results page,a[href*='/i-'],first_result,,,,,,CM-05CM2-TD12R-S|CM-05CM3-TD12R-S,"March 14, 2026 2-sample runtime validation showed 2/2 Clutch Masters SKUs resolving via exact identity search. The CM-prefixed SKUs are stored verbatim on the BigCommerce site.",Use exact SKU as-is and click the first /i-... result on the BigCommerce results page.
