alias_phrase,pattern,type,category,subtype,google_leaf,support_products,dominant_count,precision,confidence,vendor_count,mapping_variants,example_titles
dpf back,\b(?:dpf\s+back)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,124,124,1.0,1.0,7,1,"AFE ATLAS 5"" Aluminized DPF Back Exhaust 07.5-10 GM 6.6L Duramax LMM | AFE ATLAS 5"" Aluminized DPF Back Exhaust 07.5-12 Dodge 6.7L Cummins | AFE ATLAS 5"" Aluminized DPF Back Exhaust 11-14 Ford 6.7L Powerstroke"
back exhaust,\b(?:back\s+exhaust)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,100,100,1.0,1.0,7,1,"AFE ATLAS 5"" Aluminized DPF Back Exhaust 07.5-10 GM 6.6L Duramax LMM | AFE ATLAS 5"" Aluminized DPF Back Exhaust 07.5-12 Dodge 6.7L Cummins | AFE ATLAS 5"" Aluminized DPF Back Exhaust 11-14 Ford 6.7L Powerstroke"
exhaust system,\b(?:exhaust\s+system)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,97,97,1.0,0.9999,6,1,"AFE 5"" DPF-Back Exhaust System 19-25 Ram 2500/3500 6.7L Cummins | AFE ATLAS 3.5"" Aluminized DPF-Back Exhaust System 16-22 Colorado 2.8L Duramax | AFE ATLAS 4"" Aluminized DPF-Back Exhaust System 11-16 GM 6.6L Duramax LML"
allison conversion stage,\b(?:allison\s+conversion\s+stage)\b,Automatic Transmission,Automatic Transmission,Transmission Packages,Motor Vehicle Transmission & Drivetrain Parts,90,90,1.0,0.9999,1,1,ATS Allison Conversion Stage 1 Transmission 07.5-09 Ram 6.7L Cummins Aisin AS68RC 2WD | ATS Allison Conversion Stage 1 Transmission 07.5-09 Ram 6.7L Cummins Aisin AS68RC 4WD | ATS Allison Conversion Stage 1 Transmission 10-12 Ram 6.7L Cummins Aisin AS68RC 2WD
turbo back,\b(?:turbo\s+back)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,84,84,1.0,0.9998,3,1,"Diamond Eye 4"" Aluminized HX40 Turbo Back Single 89-93 Dodge 5.9L Cummins 2WD | Diamond Eye 4"" Aluminized HX40 Turbo Back Single 89-93 Dodge 5.9L Cummins 4WD | Diamond Eye 4"" Aluminized HX40 Turbo Back Single Outlet Exhaust 98.5-02 Dodge 5.9L Cummins"
fuel lift pump,\b(?:fuel\s+lift\s+pump)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,81,81,1.0,0.9997,5,1,BD Venom Fuel Lift Pump with Filter and Separator 01-10 6.6L GM Duramax | BD Venom Fuel Lift Pump with Filter and Separator 03-04.5 Dodge 5.9L Cummins | BD Venom Fuel Lift Pump with Filter and Separator 05-12 Dodge 5.9L / 6.7L Cummins
transmission package,\b(?:transmission\s+package)\b,Automatic Transmission,Automatic Transmission,Transmission Packages,Motor Vehicle Transmission & Drivetrain Parts,73,73,1.0,0.9993,1,1,ATS  Stage 1 Transmission Package 11-19 6.7L Ford Powerstroke 6R140 | ATS 3099642188 Stage 6 Transmission Package 96-98 Dodge 5.9L Cummins | ATS 3099643176 Stage 6 Transmission Package 95-97 7.3L Powerstroke 4WD
coolant hose,\b(?:coolant\s+hose)\b,Intercoolers / Radiators / Condensers,Intercoolers / Radiators / Condensers,Coolant Hoses,Motor Vehicle Engine Parts,70,70,1.0,0.9991,7,1,Cometic Coolant Hose Connector Gasket 08-16 Ford 6.4/6.7L Powerstroke | Dayco 90 Degree Coolant Hose | Pipe to Tee | 03-07 Ford SuperDuty 6.0L Powerstroke | Dayco 90 Degree Molded Coolant Hose | Oil Cooler | 96-04 Dodge Ram 2500/3500 5.9L Cummins
dpf back exhaust,\b(?:dpf\s+back\s+exhaust)\b,Exhaust,Exhaust,Exhaust Kits,Motor Vehicle Exhaust,69,69,1.0,0.999,6,1,"AFE ATLAS 5"" Aluminized DPF Back Exhaust 07.5-10 GM 6.6L Duramax LMM | AFE ATLAS 5"" Aluminized DPF Back Exhaust 07.5-12 Dodge 6.7L Cummins | AFE ATLAS 5"" Aluminized DPF Back Exhaust 11-14 Ford 6.7L Powerstroke"
weatherstrip seal,\b(?:weatherstrip\s+seal)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Weatherstrip,Motor Vehicle Frame & Body Parts,69,69,1.0,0.999,1,1,Fairchild Back Window Weatherstrip Seal Without Chrome Strip 73-96 Ford F-250/F-350 | Fairchild Belt & Window Channel Weatherstrip Seal Kit | Drv & Pass Side | 88-00 GM 2500HD/3500 | Fairchild Belt Weatherstrip Seal Kit | Inner & Outer | Drv & Pass Side | 81-93 Dodge Ram 250/350
