alias_phrase,pattern,type,category,subtype,google_leaf,support_products,dominant_count,precision,confidence,vendor_count,mapping_variants,example_titles
allison conversion stage,\b(?:allison\s+conversion\s+stage)\b,Automatic Transmission,Automatic Transmission,Transmission Packages,Motor Vehicle Transmission & Drivetrain Parts,90,90,1.0,0.9999,1,1,ATS Allison Conversion Stage 1 Transmission 07.5-09 Ram 6.7L Cummins Aisin AS68RC 2WD | ATS Allison Conversion Stage 1 Transmission 07.5-09 Ram 6.7L Cummins Aisin AS68RC 4WD | ATS Allison Conversion Stage 1 Transmission 10-12 Ram 6.7L Cummins Aisin AS68RC 2WD
transmission package,\b(?:transmission\s+package)\b,Automatic Transmission,Automatic Transmission,Transmission Packages,Motor Vehicle Transmission & Drivetrain Parts,73,73,1.0,0.9993,1,1,ATS  Stage 1 Transmission Package 11-19 6.7L Ford Powerstroke 6R140 | ATS 3099642188 Stage 6 Transmission Package 96-98 Dodge 5.9L Cummins | ATS 3099643176 Stage 6 Transmission Package 95-97 7.3L Powerstroke 4WD
weatherstrip seal,\b(?:weatherstrip\s+seal)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Weatherstrip,Motor Vehicle Frame & Body Parts,69,69,1.0,0.999,1,1,Fairchild Back Window Weatherstrip Seal Without Chrome Strip 73-96 Ford F-250/F-350 | Fairchild Belt & Window Channel Weatherstrip Seal Kit | Drv & Pass Side | 88-00 GM 2500HD/3500 | Fairchild Belt Weatherstrip Seal Kit | Inner & Outer | Drv & Pass Side | 81-93 Dodge Ram 250/350
titanium signature series fuel,\b(?:titanium\s+signature\s+series\s+fuel)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,56,56,1.0,0.9963,1,1,"FASS TS 165G Titanium Signature Series Fuel Lift Pump 165GPH Cummins, CAT, Detroit Diesel Trucks | FASS TS 250G Titanium Signature Series Fuel Lift Pump 250GPH Cummins, CAT, Detroit Diesel Trucks | FASS TS 290G Titanium Signature Series Fuel Lift Pump 290GPH Cummins, CAT, Detroit Diesel Trucks"
signature series fuel lift pump,\b(?:signature\s+series\s+fuel\s+lift\s+pump)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,55,55,1.0,0.9959,1,1,"FASS TS 165G Titanium Signature Series Fuel Lift Pump 165GPH Cummins, CAT, Detroit Diesel Trucks | FASS TS 250G Titanium Signature Series Fuel Lift Pump 250GPH Cummins, CAT, Detroit Diesel Trucks | FASS TS 290G Titanium Signature Series Fuel Lift Pump 290GPH Cummins, CAT, Detroit Diesel Trucks"
titanium signature series fuel lift,\b(?:titanium\s+signature\s+series\s+fuel\s+lift)\b,Fuel Related,Fuel Related,Lift Pumps,Motor Vehicle Fuel Systems,55,55,1.0,0.9959,1,1,"FASS TS 165G Titanium Signature Series Fuel Lift Pump 165GPH Cummins, CAT, Detroit Diesel Trucks | FASS TS 250G Titanium Signature Series Fuel Lift Pump 250GPH Cummins, CAT, Detroit Diesel Trucks | FASS TS 290G Titanium Signature Series Fuel Lift Pump 290GPH Cummins, CAT, Detroit Diesel Trucks"
transmission 68rfe,\b(?:transmission\s+68rfe)\b,Automatic Transmission,Automatic Transmission,Transmission Packages,Motor Vehicle Transmission & Drivetrain Parts,50,50,1.0,0.9933,1,1,ATS Allison Conversion Stage 1 Transmission 68RFE 07.5-09 Ram 6.7L Cummins 2WD | ATS Allison Conversion Stage 1 Transmission 68RFE 10-12 Ram 6.7L Cummins 2WD | ATS Allison Conversion Stage 1 Transmission 68RFE 10-12 Ram 6.7L Cummins 4WD
suspension bump stops,\b(?:suspension\s+bump\s+stops)\b,Suspension & Steering,Suspension & Steering,Bumpstops,Motor Vehicle Suspension Parts,46,46,1.0,0.9899,1,1,Timbren Active Off-Road Front Suspension Bump Stops 16-22 Chevy Colorado / GM Canyon 4WD | Timbren DDF974A SES Front Suspension Bump Stops 94-23 Dodge Ram 2500/3500 2WD | Timbren DF25004B SES Front Suspension Bump Stops 94-22 Ram 2500 / 3500 4WD
floor liner,\b(?:floor\s+liner)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Floor Mats,Motor Vehicle Interior Fittings,82,81,0.9878,0.9875,1,2,WeatherTech DigitalFit 2 Piece Front Floor Liner 15-16 Chevy Silverado / GMC Sierra Crew and Ext Cab | WeatherTech DigitalFit 2nd Row Floor Liner 01-07 Chevy Silverado | GMC Sierra Crew Cab | WeatherTech DigitalFit 2nd Row Floor Liner 01-07 Chevy Silverado | GMC Sierra Extended Cab
weatherstrip seal kit,\b(?:weatherstrip\s+seal\s+kit)\b,Cab Interior Upgrades & Fixes,Cab Interior Upgrades & Fixes,Weatherstrip,Motor Vehicle Frame & Body Parts,41,41,1.0,0.9834,1,1,Fairchild Belt & Window Channel Weatherstrip Seal Kit | Drv & Pass Side | 88-00 GM 2500HD/3500 | Fairchild Belt Weatherstrip Seal Kit | Inner & Outer | Drv & Pass Side | 81-93 Dodge Ram 250/350 | Fairchild Belt Weatherstrip Seal Kit | Inner & Outer | Drv & Pass Side | 94-02 Dodge Ram 2500/3500
